Country,Confirmed,Deaths,Date
Republic of Korea,104,15,20/02/2020
1,Japan,8.0,20/02/2020
1,Singapore,7.0,20/02/2020
0,Malaysia,2.0,20/02/2020
0,Viet Nam,0.0,20/02/2020
0,Australia,0.0,20/02/2020
0,Philippines,0.0,20/02/2020
1,Cambodia,0.0,20/02/2020
0,Thailand,7.0,20/02/2020
0,India,0.0,20/02/2020
0,Nepal,0.0,20/02/2020
0,Sri Lanka,0.0,20/02/2020
0,United States of America,0.0,20/02/2020
0,Canada,1.0,20/02/2020
0,Germany,0.0,20/02/2020
0,France,0.0,20/02/2020
1,The United Kingdom,0.0,20/02/2020
0,Italy,0.0,20/02/2020
0,Russian Federation,0.0,20/02/2020
0,Spain,0.0,20/02/2020
0,Belgium,0.0,20/02/2020
0,0,0.0,20/02/2020
0,0,0.0,20/02/2020
0,0,2.0,20/02/2020
1,0,0.0,20/02/2020
2,2,1.0,20/02/2020
0,0,0.0,20/02/2020
621,2,,
Hubei,349,108,20/02/2020
Guangdong,1,0,20/02/2020
Henan,4,0,20/02/2020
Zhejiang,2,0,20/02/2020
Hunan,2,0,20/02/2020
Anhui,1,0,20/02/2020
Jiangxi,1,0,20/02/2020
Jiangsu,0,0,20/02/2020
Chongqing,5,0,20/02/2020
Shandong,2,1,20/02/2020
Sichuan,6,0,20/02/2020
Heilongjiang,6,0,20/02/2020
Beijing,2,0,20/02/2020
Shanghai,0,1,20/02/2020
Hebei,1,1,20/02/2020
Fujian,0,1,20/02/2020
Guangxi,1,0,20/02/2020
Shaanxi,3,1,20/02/2020
Yunnan,0,1,20/02/2020
Hainan,5,0,20/02/2020
Guizhou,0,0,20/02/2020
Shanxi,0,0,20/02/2020
Tianjin,2,0,20/02/2020
Liaoning,0,0,20/02/2020
Gansu,1,0,20/02/2020
Jilin,0,0,20/02/2020
Xinjiang,0,0,20/02/2020
Inner Mongolia,0,0,20/02/2020
Ningxia,0,0,20/02/2020
Hong Kong SAR,3,1,20/02/2020
Taipei and environs,2,0,20/02/2020
Qinghai,0,0,20/02/2020
Macao SAR,0,0,20/02/2020
Xizang,0,0,20/02/2020
